db_id,uniprot_accession,uniprot_id
DB00001,P00734,THRB
DB00006,P00734,THRB
DB00007,P30968,GNRHR
DB00010,Q02643,GHRHR
DB00014,P22888,LSHR
DB00017,P30988,CALCR
DB00035,P37288,V1AR
DB00035,P47901,V1BR
DB00050,P22888,LSHR
DB00050,P30968,GNRHR
DB00067,P37288,V1AR
DB00067,P30518,V2R
DB00067,P47901,V1BR
DB00091,P08183,MDR1
DB00091,Q96LZ3,CANB2
DB00093,P37288,V1AR
DB00094,P23945,FSHR
DB00104,P30872,SSR1
DB00104,P35346,SSR5
DB00104,P21452,NK2R
DB00106,P30968,GNRHR
DB00107,P01178,NEU1
DB00107,P48147,PPCE
DB00109,Q12882,DPYD
DB00114,P35520,CBS
DB00114,Q9BYV1,AGT2
DB00114,Q99259,DCE1
DB00114,Q16719,KYNU
DB00114,P34896,GLYC
DB00114,Q9Y697,NFS1
DB00114,P17174,AATC
DB00114,P04181,OAT
DB00114,P11926,DCOR
DB00114,Q8N5Z0,AADAT
DB00114,P80404,GABT
DB00114,Q9NVS9,PNPO
DB00114,O95470,SGPL1
DB00114,P17735,ATTY
DB00114,Q16773,KAT1
DB00114,Q8IYQ7,THNSL
DB00114,P06737,PYGL
DB00114,O15270,LCB2
DB00114,Q9Y600,CSAD
DB00114,P19113,DCHS
DB00114,Q96A70,ADC
DB00114,P20132,SDHL
DB00114,O75600,KBL
DB00114,P23378,GCSP
DB00114,P24298,ALAT1
DB00114,Q9Y617,SERC
DB00114,P13196,HEM1
DB00114,P21549,SPYA
DB00114,Q96GD0,PLPP
DB00114,O15269,LCB1
DB00114,P54687,BCAT1
DB00114,O15382,BCAT2
DB00114,O95954,FTCD
DB00114,P00505,AATM
DB00114,P11216,PYGB
DB00114,P11217,PYGM
DB00114,P20711,DDC
DB00114,P34897,GLYM
DB00114,Q2TU84,Q2TU84
DB00114,Q49AK1,Q49AK1
DB00114,Q53ET4,Q53ET4
DB00114,Q53ET7,Q53ET7
DB00114,Q59FK2,Q59FK2
DB00114,Q59GM9,Q59GM9
DB00114,Q59HE2,Q59HE2
DB00114,Q5BJF5,Q5BJF5
DB00114,Q5HYG8,Q5HYG8
DB00114,Q5JAM2,Q5JAM2
DB00114,Q5JWL9,Q5JWL9
DB00114,Q5T7G6,Q5T7G6
DB00114,Q5VZ30,Q5VZ30
DB00114,Q5W5T9,Q5W5T9
DB00114,Q6IAV9,Q6IAV9
DB00114,Q6IBS8,Q6IBS8
DB00114,Q6P996,Q6P996
DB00114,Q6YP21,KAT3
DB00114,Q6ZQY3,Q6ZQY3
DB00114,Q7L670,Q7L670
DB00114,Q86YJ9,Q86YJ9
DB00114,Q8IUZ5,AT2L2
